Fri Jul  8 00:06:59 2022       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 460.80       Driver Version: 460.80       CUDA Version: 11.2     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  GeForce RTX 3090    Off  | 00000000:47:00.0 Off |                  N/A |
| 39%   24C    P8    21W / 350W |      0MiB / 24268MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2020 NVIDIA Corporation
Built on Mon_Oct_12_20:09:46_PDT_2020
Cuda compilation tools, release 11.1, V11.1.105
Build cuda_11.1.TC455_06.29190527_0
START
2022-07-08 00:07:17.624460
Namespace(batch_size=4, ckpt='/gpfsnyu/scratch/yw3642/hf-models/microsoft_deberta-base', epochs=30, exp=10, gradient_checkpointing=False, lr=3e-05, max_len=1024, mlm_prob=0.3, seed=-1, weight_decay=0.0)
seed= 6193
n_train=15594
{'loss': 9.8454, 'learning_rate': 6.360605283406002e-07, 'epoch': 0.13}
{'loss': 6.9995, 'learning_rate': 1.275968196973583e-06, 'epoch': 0.26}
{'loss': 6.5258, 'learning_rate': 1.9171582457040268e-06, 'epoch': 0.38}
{'loss': 5.5928, 'learning_rate': 2.5583482944344705e-06, 'epoch': 0.51}
{'loss': 4.8026, 'learning_rate': 3.1995383431649142e-06, 'epoch': 0.64}
{'loss': 4.2143, 'learning_rate': 3.8407283918953575e-06, 'epoch': 0.77}
{'loss': 3.7603, 'learning_rate': 4.481918440625802e-06, 'epoch': 0.9}
{'loss': 3.4117, 'learning_rate': 5.123108489356245e-06, 'epoch': 1.03}
{'loss': 3.1181, 'learning_rate': 5.764298538086689e-06, 'epoch': 1.15}
{'loss': 2.939, 'learning_rate': 6.4054885868171325e-06, 'epoch': 1.28}
{'loss': 2.7844, 'learning_rate': 7.045396255450115e-06, 'epoch': 1.41}
{'loss': 2.6397, 'learning_rate': 7.68658630418056e-06, 'epoch': 1.54}
{'loss': 2.535, 'learning_rate': 8.327776352911002e-06, 'epoch': 1.67}
{'loss': 2.442, 'learning_rate': 8.968966401641447e-06, 'epoch': 1.8}
{'loss': 2.3565, 'learning_rate': 9.61015645037189e-06, 'epoch': 1.92}
{'loss': 2.294, 'learning_rate': 1.0251346499102335e-05, 'epoch': 2.05}
{'loss': 2.2479, 'learning_rate': 1.0892536547832778e-05, 'epoch': 2.18}
{'loss': 2.1563, 'learning_rate': 1.1533726596563222e-05, 'epoch': 2.31}
{'loss': 2.107, 'learning_rate': 1.2173634265196205e-05, 'epoch': 2.44}
{'loss': 2.0711, 'learning_rate': 1.2814824313926648e-05, 'epoch': 2.56}
{'loss': 2.0649, 'learning_rate': 1.3456014362657093e-05, 'epoch': 2.69}
{'loss': 2.0143, 'learning_rate': 1.4097204411387535e-05, 'epoch': 2.82}
{'loss': 1.9798, 'learning_rate': 1.4738394460117978e-05, 'epoch': 2.95}
{'loss': 1.9327, 'learning_rate': 1.5379584508848423e-05, 'epoch': 3.08}
{'loss': 1.9082, 'learning_rate': 1.6020774557578868e-05, 'epoch': 3.21}
{'loss': 1.8935, 'learning_rate': 1.666196460630931e-05, 'epoch': 3.33}
{'loss': 1.8632, 'learning_rate': 1.7303154655039755e-05, 'epoch': 3.46}
{'loss': 1.8568, 'learning_rate': 1.7944344703770196e-05, 'epoch': 3.59}
{'loss': 1.8368, 'learning_rate': 1.858425237240318e-05, 'epoch': 3.72}
{'loss': 1.817, 'learning_rate': 1.9225442421133623e-05, 'epoch': 3.85}
{'loss': 1.8102, 'learning_rate': 1.9865350089766608e-05, 'epoch': 3.98}
{'loss': 1.7677, 'learning_rate': 2.050654013849705e-05, 'epoch': 4.1}
{'loss': 1.7632, 'learning_rate': 2.1147730187227495e-05, 'epoch': 4.23}
{'loss': 1.7634, 'learning_rate': 2.1788920235957936e-05, 'epoch': 4.36}
{'loss': 1.7399, 'learning_rate': 2.2430110284688385e-05, 'epoch': 4.49}
{'loss': 1.719, 'learning_rate': 2.3071300333418826e-05, 'epoch': 4.62}
{'loss': 1.7202, 'learning_rate': 2.371249038214927e-05, 'epoch': 4.74}
{'loss': 1.7108, 'learning_rate': 2.4353680430879713e-05, 'epoch': 4.87}
{'loss': 1.7135, 'learning_rate': 2.4993588099512698e-05, 'epoch': 5.0}
{'loss': 1.6736, 'learning_rate': 2.563477814824314e-05, 'epoch': 5.13}
{'loss': 1.657, 'learning_rate': 2.627596819697358e-05, 'epoch': 5.26}
{'loss': 1.6613, 'learning_rate': 2.6917158245704026e-05, 'epoch': 5.39}
{'loss': 1.6583, 'learning_rate': 2.755706591433701e-05, 'epoch': 5.51}
{'loss': 1.6683, 'learning_rate': 2.8198255963067453e-05, 'epoch': 5.64}
