Tue Jul 26 12:36:32 2022       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 460.80       Driver Version: 460.80       CUDA Version: 11.2     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  GeForce RTX 3090    Off  | 00000000:3E:00.0 Off |                  N/A |
| 39%   25C    P8    26W / 350W |      0MiB / 24268MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2020 NVIDIA Corporation
Built on Mon_Oct_12_20:09:46_PDT_2020
Cuda compilation tools, release 11.1, V11.1.105
Build cuda_11.1.TC455_06.29190527_0
START
2022-07-26 12:37:58.965078
Namespace(batch_size=2, ckpt='/gpfsnyu/scratch/yw3642/hf-models/allenai_longformer-base-4096', epochs=30, exp=16, gradient_checkpointing=True, lr=1e-05, max_len=4096, mlm_prob=0.3, seed=-1, weight_decay=0.0)
seed= 8526
n_train=15594
{'loss': 17.4681, 'learning_rate': 1.0580992689495961e-07, 'epoch': 0.06}
{'loss': 13.6584, 'learning_rate': 2.1226112607413108e-07, 'epoch': 0.13}
{'loss': 8.4085, 'learning_rate': 3.1913984010944384e-07, 'epoch': 0.19}
{'loss': 7.541, 'learning_rate': 4.260185541447566e-07, 'epoch': 0.26}
{'loss': 7.0575, 'learning_rate': 5.328972681800693e-07, 'epoch': 0.32}
{'loss': 6.5575, 'learning_rate': 6.397759822153821e-07, 'epoch': 0.38}
{'loss': 6.0312, 'learning_rate': 7.466546962506947e-07, 'epoch': 0.45}
{'loss': 5.6519, 'learning_rate': 8.535334102860075e-07, 'epoch': 0.51}
{'loss': 5.3712, 'learning_rate': 9.604121243213201e-07, 'epoch': 0.58}
{'loss': 5.0952, 'learning_rate': 1.067290838356633e-06, 'epoch': 0.64}
{'loss': 4.8145, 'learning_rate': 1.1741695523919457e-06, 'epoch': 0.71}
{'loss': 4.5893, 'learning_rate': 1.2810482664272583e-06, 'epoch': 0.77}
{'loss': 4.4106, 'learning_rate': 1.3879269804625712e-06, 'epoch': 0.83}
{'loss': 4.2012, 'learning_rate': 1.494805694497884e-06, 'epoch': 0.9}
{'loss': 4.0416, 'learning_rate': 1.6016844085331967e-06, 'epoch': 0.96}
{'loss': 3.8668, 'learning_rate': 1.7083493651404387e-06, 'epoch': 1.03}
{'loss': 3.7537, 'learning_rate': 1.8152280791757514e-06, 'epoch': 1.09}
{'loss': 3.5912, 'learning_rate': 1.9221067932110643e-06, 'epoch': 1.15}
{'loss': 3.4974, 'learning_rate': 2.028985507246377e-06, 'epoch': 1.22}
{'loss': 3.3681, 'learning_rate': 2.135650463853619e-06, 'epoch': 1.28}
{'loss': 3.2901, 'learning_rate': 2.242529177888932e-06, 'epoch': 1.35}
{'loss': 3.1733, 'learning_rate': 2.3494078919242445e-06, 'epoch': 1.41}
{'loss': 3.1183, 'learning_rate': 2.456286605959557e-06, 'epoch': 1.47}
{'loss': 3.0609, 'learning_rate': 2.5631653199948702e-06, 'epoch': 1.54}
{'loss': 2.9646, 'learning_rate': 2.6700440340301825e-06, 'epoch': 1.6}
{'loss': 2.9063, 'learning_rate': 2.7769227480654955e-06, 'epoch': 1.67}
{'loss': 2.8676, 'learning_rate': 2.883587704672738e-06, 'epoch': 1.73}
{'loss': 2.8168, 'learning_rate': 2.99046641870805e-06, 'epoch': 1.8}
{'loss': 2.7441, 'learning_rate': 3.097345132743363e-06, 'epoch': 1.86}
{'loss': 2.7113, 'learning_rate': 3.2042238467786758e-06, 'epoch': 1.92}
{'loss': 2.6642, 'learning_rate': 3.3111025608139884e-06, 'epoch': 1.99}
{'loss': 2.6133, 'learning_rate': 3.4177675174212307e-06, 'epoch': 2.05}
{'loss': 2.5651, 'learning_rate': 3.5246462314565433e-06, 'epoch': 2.12}
{'loss': 2.5484, 'learning_rate': 3.631311188063785e-06, 'epoch': 2.18}
{'loss': 2.5407, 'learning_rate': 3.7381899020990983e-06, 'epoch': 2.24}
{'loss': 2.4837, 'learning_rate': 3.845068616134411e-06, 'epoch': 2.31}
{'loss': 2.467, 'learning_rate': 3.951947330169724e-06, 'epoch': 2.37}
{'loss': 2.4393, 'learning_rate': 4.058826044205036e-06, 'epoch': 2.44}
{'loss': 2.3899, 'learning_rate': 4.165704758240349e-06, 'epoch': 2.5}
{'loss': 2.3402, 'learning_rate': 4.272583472275662e-06, 'epoch': 2.57}
{'loss': 2.357, 'learning_rate': 4.379462186310975e-06, 'epoch': 2.63}
{'loss': 2.3121, 'learning_rate': 4.4861271429182164e-06, 'epoch': 2.69}
{'loss': 2.3318, 'learning_rate': 4.5930058569535295e-06, 'epoch': 2.76}
