Fri Jul 29 23:28:47 2022       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 460.80       Driver Version: 460.80       CUDA Version: 11.2     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  GeForce RTX 3090    Off  | 00000000:3D:00.0 Off |                  N/A |
| 39%   25C    P8    26W / 350W |      0MiB / 24268MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2020 NVIDIA Corporation
Built on Mon_Oct_12_20:09:46_PDT_2020
Cuda compilation tools, release 11.1, V11.1.105
Build cuda_11.1.TC455_06.29190527_0
START
2022-07-29 23:30:30.895321
Namespace(batch_size=2, ckpt='/gpfsnyu/scratch/yw3642/hf-models/microsoft_deberta-large-mnli', epochs=30, exp=18, gradient_checkpointing=True, lr=1e-05, max_len=2048, mlm_prob=0.3, seed=-1, weight_decay=0.0)
seed= 2591
n_train=15594
{'loss': 10.473, 'learning_rate': 1.0580992689495961e-07, 'epoch': 0.06}
{'loss': 7.9418, 'learning_rate': 2.1268864093027235e-07, 'epoch': 0.13}
{'loss': 7.1988, 'learning_rate': 3.1956735496558503e-07, 'epoch': 0.19}
{'loss': 6.9933, 'learning_rate': 4.264460690008978e-07, 'epoch': 0.26}
{'loss': 6.8232, 'learning_rate': 5.333247830362105e-07, 'epoch': 0.32}
{'loss': 6.6093, 'learning_rate': 6.402034970715234e-07, 'epoch': 0.38}
{'loss': 6.169, 'learning_rate': 7.47082211106836e-07, 'epoch': 0.45}
{'loss': 5.6929, 'learning_rate': 8.539609251421488e-07, 'epoch': 0.51}
{'loss': 5.3113, 'learning_rate': 9.608396391774615e-07, 'epoch': 0.58}
{'loss': 5.0027, 'learning_rate': 1.0677183532127742e-06, 'epoch': 0.64}
{'loss': 4.765, 'learning_rate': 1.1745970672480868e-06, 'epoch': 0.71}
{'loss': 4.5321, 'learning_rate': 1.2814757812833997e-06, 'epoch': 0.77}
{'loss': 4.3064, 'learning_rate': 1.3883544953187126e-06, 'epoch': 0.83}
{'loss': 4.1427, 'learning_rate': 1.4950194519259544e-06, 'epoch': 0.9}
{'loss': 3.9478, 'learning_rate': 1.6018981659612673e-06, 'epoch': 0.96}
{'loss': 3.7851, 'learning_rate': 1.7087768799965801e-06, 'epoch': 1.03}
{'loss': 3.5949, 'learning_rate': 1.8156555940318926e-06, 'epoch': 1.09}
{'loss': 3.4952, 'learning_rate': 1.9225343080672055e-06, 'epoch': 1.15}
{'loss': 3.3494, 'learning_rate': 2.029413022102518e-06, 'epoch': 1.22}
{'loss': 3.2174, 'learning_rate': 2.136291736137831e-06, 'epoch': 1.28}
{'loss': 3.0741, 'learning_rate': 2.243170450173144e-06, 'epoch': 1.35}
{'loss': 2.9991, 'learning_rate': 2.3500491642084565e-06, 'epoch': 1.41}
{'loss': 2.8623, 'learning_rate': 2.456927878243769e-06, 'epoch': 1.47}
{'loss': 2.8054, 'learning_rate': 2.5635928348510114e-06, 'epoch': 1.54}
{'loss': 2.7342, 'learning_rate': 2.6702577914582533e-06, 'epoch': 1.6}
{'loss': 2.6497, 'learning_rate': 2.7771365054935663e-06, 'epoch': 1.67}
{'loss': 2.5774, 'learning_rate': 2.884015219528879e-06, 'epoch': 1.73}
{'loss': 2.5484, 'learning_rate': 2.9908939335641916e-06, 'epoch': 1.8}
{'loss': 2.4432, 'learning_rate': 3.0977726475995047e-06, 'epoch': 1.86}
{'loss': 2.3863, 'learning_rate': 3.204651361634817e-06, 'epoch': 1.92}
{'loss': 2.3747, 'learning_rate': 3.3113163182420592e-06, 'epoch': 1.99}
{'loss': 2.3287, 'learning_rate': 3.4181950322773723e-06, 'epoch': 2.05}
{'loss': 2.2921, 'learning_rate': 3.5250737463126845e-06, 'epoch': 2.12}
{'loss': 2.2293, 'learning_rate': 3.631952460347997e-06, 'epoch': 2.18}
{'loss': 2.1972, 'learning_rate': 3.73883117438331e-06, 'epoch': 2.24}
{'loss': 2.1384, 'learning_rate': 3.845709888418623e-06, 'epoch': 2.31}
{'loss': 2.1456, 'learning_rate': 3.952588602453936e-06, 'epoch': 2.37}
{'loss': 2.0853, 'learning_rate': 4.059467316489248e-06, 'epoch': 2.44}
{'loss': 2.082, 'learning_rate': 4.166346030524561e-06, 'epoch': 2.5}
{'loss': 2.0631, 'learning_rate': 4.273010987131803e-06, 'epoch': 2.57}
{'loss': 2.0342, 'learning_rate': 4.379889701167116e-06, 'epoch': 2.63}
{'loss': 2.0147, 'learning_rate': 4.486554657774358e-06, 'epoch': 2.69}
{'loss': 1.9753, 'learning_rate': 4.593433371809671e-06, 'epoch': 2.76}
