Fri Jul 29 23:37:19 2022       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 460.80       Driver Version: 460.80       CUDA Version: 11.2     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  GeForce RTX 3090    Off  | 00000000:45:00.0 Off |                  N/A |
| 38%   22C    P8    18W / 350W |      0MiB / 24268MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2020 NVIDIA Corporation
Built on Mon_Oct_12_20:09:46_PDT_2020
Cuda compilation tools, release 11.1, V11.1.105
Build cuda_11.1.TC455_06.29190527_0
START
2022-07-29 23:38:30.299259
Namespace(batch_size=2, ckpt='/gpfsnyu/scratch/yw3642/hf-models/microsoft_deberta-xlarge', epochs=35, exp=19, gradient_checkpointing=True, lr=5e-06, max_len=1024, mlm_prob=0.3, seed=-1, weight_decay=0.0)
seed= 7522
n_train=15594
{'loss': 11.0058, 'learning_rate': 4.51638908737793e-08, 'epoch': 0.06}
{'loss': 9.722, 'learning_rate': 9.07858333791385e-08, 'epoch': 0.13}
{'loss': 7.9814, 'learning_rate': 1.364993862108137e-07, 'epoch': 0.19}
{'loss': 7.3367, 'learning_rate': 1.823045493688049e-07, 'epoch': 0.26}
{'loss': 7.1206, 'learning_rate': 2.2810971252679603e-07, 'epoch': 0.32}
{'loss': 6.9814, 'learning_rate': 2.739148756847872e-07, 'epoch': 0.38}
{'loss': 6.9584, 'learning_rate': 3.197200388427784e-07, 'epoch': 0.45}
{'loss': 6.8694, 'learning_rate': 3.6552520200076956e-07, 'epoch': 0.51}
{'loss': 6.7989, 'learning_rate': 4.1133036515876073e-07, 'epoch': 0.58}
{'loss': 6.7221, 'learning_rate': 4.571355283167519e-07, 'epoch': 0.64}
{'loss': 6.4621, 'learning_rate': 5.02940691474743e-07, 'epoch': 0.71}
{'loss': 6.035, 'learning_rate': 5.487458546327343e-07, 'epoch': 0.77}
{'loss': 5.6245, 'learning_rate': 5.945510177907254e-07, 'epoch': 0.83}
{'loss': 5.2979, 'learning_rate': 6.403561809487166e-07, 'epoch': 0.9}
{'loss': 4.9345, 'learning_rate': 6.861613441067078e-07, 'epoch': 0.96}
{'loss': 4.6867, 'learning_rate': 7.31966507264699e-07, 'epoch': 1.03}
{'loss': 4.5729, 'learning_rate': 7.776800600963741e-07, 'epoch': 1.09}
{'loss': 4.2871, 'learning_rate': 8.234852232543653e-07, 'epoch': 1.15}
{'loss': 4.0693, 'learning_rate': 8.692903864123564e-07, 'epoch': 1.22}
{'loss': 3.8925, 'learning_rate': 9.150955495703477e-07, 'epoch': 1.28}
{'loss': 3.7607, 'learning_rate': 9.609007127283389e-07, 'epoch': 1.35}
{'loss': 3.6701, 'learning_rate': 1.00670587588633e-06, 'epoch': 1.41}
{'loss': 3.6243, 'learning_rate': 1.0524194287180053e-06, 'epoch': 1.47}
{'loss': 3.466, 'learning_rate': 1.0982245918759963e-06, 'epoch': 1.54}
{'loss': 3.3381, 'learning_rate': 1.1440297550339874e-06, 'epoch': 1.6}
{'loss': 3.5449, 'learning_rate': 1.1898349181919786e-06, 'epoch': 1.67}
{'loss': 3.198, 'learning_rate': 1.2356400813499698e-06, 'epoch': 1.73}
{'loss': 3.1157, 'learning_rate': 1.2814452445079611e-06, 'epoch': 1.8}
{'loss': 3.0345, 'learning_rate': 1.3272504076659523e-06, 'epoch': 1.86}
{'loss': 3.0064, 'learning_rate': 1.3730555708239435e-06, 'epoch': 1.92}
{'loss': 3.1158, 'learning_rate': 1.4188607339819346e-06, 'epoch': 1.99}
{'loss': 2.8781, 'learning_rate': 1.4646658971399258e-06, 'epoch': 2.05}
{'loss': 2.8339, 'learning_rate': 1.510471060297917e-06, 'epoch': 2.12}
{'loss': 2.706, 'learning_rate': 1.5562762234559081e-06, 'epoch': 2.18}
{'loss': 2.6962, 'learning_rate': 1.6020813866138993e-06, 'epoch': 2.24}
{'loss': 2.7128, 'learning_rate': 1.6477949394455744e-06, 'epoch': 2.31}
{'loss': 2.5945, 'learning_rate': 1.6936001026035655e-06, 'epoch': 2.37}
{'loss': 2.5391, 'learning_rate': 1.7394052657615567e-06, 'epoch': 2.44}
{'loss': 2.5534, 'learning_rate': 1.7852104289195479e-06, 'epoch': 2.5}
{'loss': 2.4834, 'learning_rate': 1.831015592077539e-06, 'epoch': 2.57}
{'loss': 2.5004, 'learning_rate': 1.8767291449092143e-06, 'epoch': 2.63}
{'loss': 2.4954, 'learning_rate': 1.9225343080672055e-06, 'epoch': 2.69}
{'loss': 2.4641, 'learning_rate': 1.9682478608988807e-06, 'epoch': 2.76}
