Mon Aug  1 03:52:35 2022       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 460.73.01    Driver Version: 460.73.01    CUDA Version: 11.2     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  A10                 On   | 00000000:41:00.0 Off |                    0 |
|  0%   32C    P8    15W / 150W |      0MiB / 22731MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2020 NVIDIA Corporation
Built on Mon_Oct_12_20:09:46_PDT_2020
Cuda compilation tools, release 11.1, V11.1.105
Build cuda_11.1.TC455_06.29190527_0
START
2022-08-01 03:53:28.379956
Namespace(batch_size=2, ckpt='/gpfsnyu/scratch/yw3642/hf-models/google_bigbird-roberta-large', epochs=35, exp=23, gradient_checkpointing=True, lr=5e-06, max_len=4096, mlm_prob=0.3, seed=-1, weight_decay=0.0)
seed= 8205
n_train=15594
{'loss': 13.5624, 'learning_rate': 4.452261858956742e-08, 'epoch': 0.06}
{'loss': 12.2203, 'learning_rate': 9.02361714212426e-08, 'epoch': 0.13}
{'loss': 10.1999, 'learning_rate': 1.3604133457923378e-07, 'epoch': 0.19}
{'loss': 8.3596, 'learning_rate': 1.8184649773722495e-07, 'epoch': 0.26}
{'loss': 7.5214, 'learning_rate': 2.2765166089521614e-07, 'epoch': 0.32}
{'loss': 7.1171, 'learning_rate': 2.734568240532073e-07, 'epoch': 0.38}
{'loss': 6.8831, 'learning_rate': 3.192619872111985e-07, 'epoch': 0.45}
{'loss': 6.5789, 'learning_rate': 3.6506715036918964e-07, 'epoch': 0.51}
{'loss': 6.1751, 'learning_rate': 4.108723135271808e-07, 'epoch': 0.58}
{'loss': 5.7824, 'learning_rate': 4.56677476685172e-07, 'epoch': 0.64}
{'loss': 5.4802, 'learning_rate': 5.024826398431631e-07, 'epoch': 0.71}
{'loss': 5.2246, 'learning_rate': 5.482878030011543e-07, 'epoch': 0.77}
{'loss': 4.977, 'learning_rate': 5.940929661591456e-07, 'epoch': 0.83}
{'loss': 4.8058, 'learning_rate': 6.398981293171366e-07, 'epoch': 0.9}
{'loss': 4.5949, 'learning_rate': 6.857032924751278e-07, 'epoch': 0.96}
{'loss': 4.4632, 'learning_rate': 7.315084556331191e-07, 'epoch': 1.03}
{'loss': 4.2782, 'learning_rate': 7.773136187911103e-07, 'epoch': 1.09}
{'loss': 4.1772, 'learning_rate': 8.231187819491014e-07, 'epoch': 1.15}
{'loss': 3.9823, 'learning_rate': 8.689239451070926e-07, 'epoch': 1.22}
{'loss': 3.8162, 'learning_rate': 9.147291082650838e-07, 'epoch': 1.28}
{'loss': 3.7657, 'learning_rate': 9.605342714230748e-07, 'epoch': 1.35}
{'loss': 3.6183, 'learning_rate': 1.006339434581066e-06, 'epoch': 1.41}
{'loss': 3.5419, 'learning_rate': 1.0521445977390572e-06, 'epoch': 1.47}
{'loss': 3.4357, 'learning_rate': 1.0979497608970483e-06, 'epoch': 1.54}
{'loss': 3.3134, 'learning_rate': 1.1437549240550395e-06, 'epoch': 1.6}
{'loss': 3.2431, 'learning_rate': 1.1895600872130307e-06, 'epoch': 1.67}
{'loss': 3.1846, 'learning_rate': 1.2353652503710218e-06, 'epoch': 1.73}
{'loss': 3.0991, 'learning_rate': 1.2811704135290132e-06, 'epoch': 1.8}
{'loss': 2.9797, 'learning_rate': 1.3269755766870044e-06, 'epoch': 1.86}
{'loss': 2.9774, 'learning_rate': 1.3727807398449955e-06, 'epoch': 1.92}
{'loss': 2.8471, 'learning_rate': 1.4185859030029867e-06, 'epoch': 1.99}
{'loss': 2.8233, 'learning_rate': 1.4643910661609779e-06, 'epoch': 2.05}
{'loss': 2.7909, 'learning_rate': 1.510196229318969e-06, 'epoch': 2.12}
{'loss': 2.7076, 'learning_rate': 1.5560013924769602e-06, 'epoch': 2.18}
{'loss': 2.6799, 'learning_rate': 1.6018065556349514e-06, 'epoch': 2.24}
{'loss': 2.6515, 'learning_rate': 1.6475201084666264e-06, 'epoch': 2.31}
{'loss': 2.5669, 'learning_rate': 1.6933252716246176e-06, 'epoch': 2.37}
{'loss': 2.5249, 'learning_rate': 1.7391304347826088e-06, 'epoch': 2.44}
{'loss': 2.5761, 'learning_rate': 1.7849355979406e-06, 'epoch': 2.5}
{'loss': 2.4613, 'learning_rate': 1.830740761098591e-06, 'epoch': 2.57}
{'loss': 2.4327, 'learning_rate': 1.8765459242565823e-06, 'epoch': 2.63}
{'loss': 2.3974, 'learning_rate': 1.9223510874145736e-06, 'epoch': 2.69}
{'loss': 2.3548, 'learning_rate': 1.9681562505725646e-06, 'epoch': 2.76}
{'loss': 2.3448, 'learning_rate': 2.0139614137305555e-06, 'epoch': 2.82}
