Fri Jul  1 08:13:37 2022       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 460.80       Driver Version: 460.80       CUDA Version: 11.2     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  GeForce RTX 3090    Off  | 00000000:3E:00.0 Off |                  N/A |
| 39%   32C    P8    26W / 350W |      0MiB / 24268MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2020 NVIDIA Corporation
Built on Mon_Oct_12_20:09:46_PDT_2020
Cuda compilation tools, release 11.1, V11.1.105
Build cuda_11.1.TC455_06.29190527_0
START
2022-07-01 08:13:53.839003
Namespace(batch_size=4, ckpt='/gpfsnyu/scratch/yw3642/hf-models/microsoft_deberta-v3-base', epochs=30, exp=3, gradient_checkpointing=True, lr=3e-05, max_len=1536, mlm_prob=0.15, seed=42, weight_decay=0.0)
n_train=15594
{'loss': 12.0579, 'learning_rate': 6.296486278532958e-07, 'epoch': 0.13}
{'loss': 7.7746, 'learning_rate': 1.2708386765837396e-06, 'epoch': 0.26}
{'loss': 7.1463, 'learning_rate': 1.912028725314183e-06, 'epoch': 0.38}
{'loss': 6.6174, 'learning_rate': 2.553218774044627e-06, 'epoch': 0.51}
{'loss': 5.8925, 'learning_rate': 3.1944088227750706e-06, 'epoch': 0.64}
{'loss': 5.4255, 'learning_rate': 3.835598871505514e-06, 'epoch': 0.77}
{'loss': 5.0258, 'learning_rate': 4.4767889202359585e-06, 'epoch': 0.9}
{'loss': 4.6933, 'learning_rate': 5.117978968966401e-06, 'epoch': 1.03}
{'loss': 4.4141, 'learning_rate': 5.759169017696845e-06, 'epoch': 1.15}
{'loss': 4.1751, 'learning_rate': 6.400359066427289e-06, 'epoch': 1.28}
{'loss': 3.942, 'learning_rate': 7.0415491151577334e-06, 'epoch': 1.41}
{'loss': 3.7441, 'learning_rate': 7.682739163888177e-06, 'epoch': 1.54}
{'loss': 3.56, 'learning_rate': 8.323929212618622e-06, 'epoch': 1.67}
{'loss': 3.4248, 'learning_rate': 8.965119261349063e-06, 'epoch': 1.8}
{'loss': 3.3154, 'learning_rate': 9.606309310079507e-06, 'epoch': 1.92}
{'loss': 3.1705, 'learning_rate': 1.0247499358809952e-05, 'epoch': 2.05}
{'loss': 3.0678, 'learning_rate': 1.0888689407540395e-05, 'epoch': 2.18}
{'loss': 2.969, 'learning_rate': 1.152987945627084e-05, 'epoch': 2.31}
{'loss': 2.8955, 'learning_rate': 1.2171069505001283e-05, 'epoch': 2.44}
{'loss': 2.8171, 'learning_rate': 1.2812259553731727e-05, 'epoch': 2.56}
{'loss': 2.7786, 'learning_rate': 1.345344960246217e-05, 'epoch': 2.69}
{'loss': 2.6885, 'learning_rate': 1.4094639651192613e-05, 'epoch': 2.82}
{'loss': 2.6353, 'learning_rate': 1.4735829699923057e-05, 'epoch': 2.95}
{'loss': 2.5921, 'learning_rate': 1.537573736855604e-05, 'epoch': 3.08}
{'loss': 2.5163, 'learning_rate': 1.6016927417286485e-05, 'epoch': 3.21}
{'loss': 2.4792, 'learning_rate': 1.6656835085919467e-05, 'epoch': 3.33}
{'loss': 2.4423, 'learning_rate': 1.729802513464991e-05, 'epoch': 3.46}
{'loss': 2.4038, 'learning_rate': 1.7939215183380353e-05, 'epoch': 3.59}
{'loss': 2.3715, 'learning_rate': 1.8580405232110795e-05, 'epoch': 3.72}
{'loss': 2.3331, 'learning_rate': 1.9221595280841243e-05, 'epoch': 3.85}
{'loss': 2.2897, 'learning_rate': 1.9861502949474225e-05, 'epoch': 3.98}
{'loss': 2.2711, 'learning_rate': 2.050269299820467e-05, 'epoch': 4.1}
{'loss': 2.2224, 'learning_rate': 2.114388304693511e-05, 'epoch': 4.23}
{'loss': 2.1848, 'learning_rate': 2.1785073095665556e-05, 'epoch': 4.36}
{'loss': 2.1824, 'learning_rate': 2.2426263144395998e-05, 'epoch': 4.49}
{'loss': 2.1373, 'learning_rate': 2.3067453193126443e-05, 'epoch': 4.62}
{'loss': 2.1143, 'learning_rate': 2.3708643241856888e-05, 'epoch': 4.74}
{'loss': 2.1207, 'learning_rate': 2.4349833290587333e-05, 'epoch': 4.87}
{'loss': 2.0755, 'learning_rate': 2.498974095922031e-05, 'epoch': 5.0}
{'loss': 2.0303, 'learning_rate': 2.563093100795076e-05, 'epoch': 5.13}
{'loss': 2.0294, 'learning_rate': 2.62721210566812e-05, 'epoch': 5.26}
{'loss': 2.0252, 'learning_rate': 2.6913311105411643e-05, 'epoch': 5.39}
{'loss': 1.9928, 'learning_rate': 2.7554501154142088e-05, 'epoch': 5.51}
{'loss': 1.9798, 'learning_rate': 2.819569120287253e-05, 'epoch': 5.64}
