Sun Jul  3 21:30:49 2022       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 460.80       Driver Version: 460.80       CUDA Version: 11.2     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  GeForce RTX 3090    Off  | 00000000:42:00.0 Off |                  N/A |
| 39%   41C    P8    24W / 350W |      0MiB / 24268MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2020 NVIDIA Corporation
Built on Mon_Oct_12_20:09:46_PDT_2020
Cuda compilation tools, release 11.1, V11.1.105
Build cuda_11.1.TC455_06.29190527_0
START
2022-07-03 21:32:45.557495
Namespace(batch_size=4, ckpt='/gpfsnyu/scratch/yw3642/hf-models/microsoft_deberta-v3-large', epochs=30, exp=6, gradient_checkpointing=True, lr=1e-05, max_len=1024, mlm_prob=0.3, seed=14, weight_decay=0.0)
n_train=15594
{'loss': 10.7527, 'learning_rate': 2.1031033598358557e-07, 'epoch': 0.13}
{'loss': 7.1733, 'learning_rate': 4.240403522270668e-07, 'epoch': 0.26}
{'loss': 6.8072, 'learning_rate': 6.37770368470548e-07, 'epoch': 0.38}
{'loss': 6.5603, 'learning_rate': 8.515003847140293e-07, 'epoch': 0.51}
{'loss': 6.1858, 'learning_rate': 1.0652304009575105e-06, 'epoch': 0.64}
{'loss': 5.6894, 'learning_rate': 1.2789604172009916e-06, 'epoch': 0.77}
{'loss': 5.3455, 'learning_rate': 1.492690433444473e-06, 'epoch': 0.9}
{'loss': 5.0572, 'learning_rate': 1.7064204496879545e-06, 'epoch': 1.03}
{'loss': 4.808, 'learning_rate': 1.9201504659314356e-06, 'epoch': 1.15}
{'loss': 4.5839, 'learning_rate': 2.1338804821749167e-06, 'epoch': 1.28}
{'loss': 4.4062, 'learning_rate': 2.3476104984183982e-06, 'epoch': 1.41}
{'loss': 4.195, 'learning_rate': 2.5613405146618793e-06, 'epoch': 1.54}
{'loss': 4.028, 'learning_rate': 2.7750705309053604e-06, 'epoch': 1.67}
{'loss': 3.8487, 'learning_rate': 2.988800547148842e-06, 'epoch': 1.8}
{'loss': 3.7088, 'learning_rate': 3.202530563392323e-06, 'epoch': 1.92}
{'loss': 3.5802, 'learning_rate': 3.4162605796358046e-06, 'epoch': 2.05}
{'loss': 3.4376, 'learning_rate': 3.6299905958792857e-06, 'epoch': 2.18}
{'loss': 3.3678, 'learning_rate': 3.843720612122766e-06, 'epoch': 2.31}
{'loss': 3.251, 'learning_rate': 4.057450628366248e-06, 'epoch': 2.44}
{'loss': 3.1595, 'learning_rate': 4.271180644609729e-06, 'epoch': 2.56}
{'loss': 3.0669, 'learning_rate': 4.484483200820723e-06, 'epoch': 2.69}
{'loss': 3.0168, 'learning_rate': 4.698213217064204e-06, 'epoch': 2.82}
{'loss': 2.9279, 'learning_rate': 4.911943233307686e-06, 'epoch': 2.95}
{'loss': 2.8773, 'learning_rate': 5.1256732495511675e-06, 'epoch': 3.08}
{'loss': 2.8297, 'learning_rate': 5.338975805762162e-06, 'epoch': 3.21}
{'loss': 2.766, 'learning_rate': 5.552705822005643e-06, 'epoch': 3.33}
{'loss': 2.7101, 'learning_rate': 5.7664358382491236e-06, 'epoch': 3.46}
{'loss': 2.6934, 'learning_rate': 5.979738394460118e-06, 'epoch': 3.59}
{'loss': 2.6248, 'learning_rate': 6.193468410703599e-06, 'epoch': 3.72}
{'loss': 2.576, 'learning_rate': 6.407198426947081e-06, 'epoch': 3.85}
{'loss': 2.5367, 'learning_rate': 6.620928443190562e-06, 'epoch': 3.98}
{'loss': 2.5204, 'learning_rate': 6.8346584594340436e-06, 'epoch': 4.1}
{'loss': 2.4813, 'learning_rate': 7.048388475677525e-06, 'epoch': 4.23}
{'loss': 2.4431, 'learning_rate': 7.262118491921007e-06, 'epoch': 4.36}
{'loss': 2.4144, 'learning_rate': 7.475848508164487e-06, 'epoch': 4.49}
{'loss': 2.3735, 'learning_rate': 7.689151064375482e-06, 'epoch': 4.62}
{'loss': 2.3574, 'learning_rate': 7.902881080618963e-06, 'epoch': 4.74}
{'loss': 2.3523, 'learning_rate': 8.116611096862444e-06, 'epoch': 4.87}
{'loss': 2.3156, 'learning_rate': 8.330341113105925e-06, 'epoch': 5.0}
{'loss': 2.2747, 'learning_rate': 8.544071129349406e-06, 'epoch': 5.13}
{'loss': 2.2488, 'learning_rate': 8.757801145592887e-06, 'epoch': 5.26}
{'loss': 2.237, 'learning_rate': 8.971531161836368e-06, 'epoch': 5.39}
{'loss': 2.194, 'learning_rate': 9.185261178079851e-06, 'epoch': 5.51}
{'loss': 2.1827, 'learning_rate': 9.398991194323332e-06, 'epoch': 5.64}
