Sun Jul  3 22:59:03 2022       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 460.80       Driver Version: 460.80       CUDA Version: 11.2     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  GeForce RTX 3090    Off  | 00000000:3D:00.0 Off |                  N/A |
| 39%   25C    P8    26W / 350W |      0MiB / 24268MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2020 NVIDIA Corporation
Built on Mon_Oct_12_20:09:46_PDT_2020
Cuda compilation tools, release 11.1, V11.1.105
Build cuda_11.1.TC455_06.29190527_0
START
2022-07-03 23:00:30.292149
Namespace(batch_size=4, ckpt='/gpfsnyu/scratch/yw3642/hf-models/microsoft_deberta-v3-large', epochs=30, exp=7, gradient_checkpointing=True, lr=2e-05, max_len=1024, mlm_prob=0.3, seed=14, weight_decay=0.0)
n_train=15594
{'loss': 10.438, 'learning_rate': 4.2147559203214504e-07, 'epoch': 0.13}
{'loss': 7.0242, 'learning_rate': 8.489356245191076e-07, 'epoch': 0.26}
{'loss': 6.7318, 'learning_rate': 1.27639565700607e-06, 'epoch': 0.38}
{'loss': 6.5666, 'learning_rate': 1.7038556894930325e-06, 'epoch': 0.51}
{'loss': 6.4302, 'learning_rate': 2.131315721979995e-06, 'epoch': 0.64}
{'loss': 6.3251, 'learning_rate': 2.5587757544669577e-06, 'epoch': 0.77}
{'loss': 6.1918, 'learning_rate': 2.985380866888946e-06, 'epoch': 0.9}
{'loss': 5.8177, 'learning_rate': 3.412840899375909e-06, 'epoch': 1.03}
{'loss': 5.1539, 'learning_rate': 3.840300931862871e-06, 'epoch': 1.15}
{'loss': 4.6967, 'learning_rate': 4.267760964349833e-06, 'epoch': 1.28}
{'loss': 4.4041, 'learning_rate': 4.6952209968367964e-06, 'epoch': 1.41}
{'loss': 4.1216, 'learning_rate': 5.122681029323759e-06, 'epoch': 1.54}
{'loss': 3.9172, 'learning_rate': 5.550141061810721e-06, 'epoch': 1.67}
{'loss': 3.7265, 'learning_rate': 5.977601094297684e-06, 'epoch': 1.8}
{'loss': 3.5786, 'learning_rate': 6.405061126784646e-06, 'epoch': 1.92}
{'loss': 3.4581, 'learning_rate': 6.832521159271609e-06, 'epoch': 2.05}
{'loss': 3.3174, 'learning_rate': 7.259981191758571e-06, 'epoch': 2.18}
{'loss': 3.2505, 'learning_rate': 7.687441224245533e-06, 'epoch': 2.31}
{'loss': 3.135, 'learning_rate': 8.114901256732497e-06, 'epoch': 2.44}
{'loss': 3.0437, 'learning_rate': 8.542361289219459e-06, 'epoch': 2.56}
{'loss': 2.9487, 'learning_rate': 8.969821321706421e-06, 'epoch': 2.69}
{'loss': 2.8882, 'learning_rate': 9.397281354193383e-06, 'epoch': 2.82}
{'loss': 2.7888, 'learning_rate': 9.824741386680347e-06, 'epoch': 2.95}
{'loss': 2.7322, 'learning_rate': 1.025220141916731e-05, 'epoch': 3.08}
{'loss': 2.681, 'learning_rate': 1.0678806531589297e-05, 'epoch': 3.21}
{'loss': 2.6074, 'learning_rate': 1.1105411644011287e-05, 'epoch': 3.33}
{'loss': 2.5461, 'learning_rate': 1.1532871676498247e-05, 'epoch': 3.46}
{'loss': 2.5236, 'learning_rate': 1.1960331708985211e-05, 'epoch': 3.59}
{'loss': 2.4501, 'learning_rate': 1.2387791741472173e-05, 'epoch': 3.72}
{'loss': 2.4024, 'learning_rate': 1.2815251773959137e-05, 'epoch': 3.85}
{'loss': 2.355, 'learning_rate': 1.3242711806446098e-05, 'epoch': 3.98}
{'loss': 2.3383, 'learning_rate': 1.3670171838933062e-05, 'epoch': 4.1}
{'loss': 2.2982, 'learning_rate': 1.409677695135505e-05, 'epoch': 4.23}
{'loss': 2.2607, 'learning_rate': 1.4524236983842013e-05, 'epoch': 4.36}
{'loss': 2.2323, 'learning_rate': 1.4951697016328974e-05, 'epoch': 4.49}
{'loss': 2.1971, 'learning_rate': 1.5379157048815938e-05, 'epoch': 4.62}
{'loss': 2.1759, 'learning_rate': 1.58066170813029e-05, 'epoch': 4.74}
{'loss': 2.1734, 'learning_rate': 1.6234077113789862e-05, 'epoch': 4.87}
{'loss': 2.1406, 'learning_rate': 1.6661537146276824e-05, 'epoch': 5.0}
{'loss': 2.0938, 'learning_rate': 1.7088997178763786e-05, 'epoch': 5.13}
{'loss': 2.0747, 'learning_rate': 1.7515602291185774e-05, 'epoch': 5.26}
{'loss': 2.0646, 'learning_rate': 1.7943062323672736e-05, 'epoch': 5.39}
{'loss': 2.0246, 'learning_rate': 1.8370522356159702e-05, 'epoch': 5.51}
{'loss': 2.0204, 'learning_rate': 1.8797982388646664e-05, 'epoch': 5.64}
